Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 8 93 dynamic 32 0.000
1 100 0.100 1000 8 99 dynamic 32 0.000
1 100 0.200 1000 8 162 dynamic 32 0.000
1 100 0.300 1000 8 445 dynamic 32 1.000
1 100 0.400 1000 8 521 dynamic 32 1.000
1 100 0.500 1000 8 572 dynamic 32 1.000
1 100 0.600 1000 8 616 dynamic 32 1.000
1 100 0.700 1000 8 643 dynamic 32 1.000
1 100 0.800 1000 8 673 dynamic 32 1.000
1 100 0.900 1000 8 673 dynamic 32 1.000
1 100 1.000 1000 8 716 dynamic 32 1.000
